Number Index,Name Index,Cluster,Crop,District,Taluka,Gram Panchayat,Notification Level,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
1,4-Su.Bajra-Ahmedabad-DASKROI-,4,Su.Bajra,Ahmedabad,DASKROI,,Taluka,470,470,470,470,470,470,470,470,470,470
2,5-Su.Bajra-Anand-ANKLAV-,5,Su.Bajra,Anand,ANKLAV,,Taluka,"3,145","3,145","3,145","3,145","3,145","3,145","3,145","3,145","3,145","3,145"
3,6-Su.Bajra-Aravalli-BAYAD-,6,Su.Bajra,Aravalli,BAYAD,,Taluka,"1,560","1,560","1,560","1,560","1,560","1,560","1,560","1,560","1,560","1,560"
4,6-Su.Bajra-Aravalli-MALPUR-,6,Su.Bajra,Aravalli,MALPUR,,Taluka,410,410,410,410,410,410,410,410,410,410
5,5-Su.Bajra-Banaskantha-AMIRGADH-,5,Su.Bajra,Banaskantha,AMIRGADH,,Taluka,"1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510","1,510"
6,5-Su.Bajra-Banaskantha-DANTA-,5,Su.Bajra,Banaskantha,DANTA,,Taluka,"2,414","2,414","2,414","2,414","2,414","2,414","2,414","2,414","2,414","2,414"
7,5-Su.Bajra-Banaskantha-VADGAM-,5,Su.Bajra,Banaskantha,VADGAM,,Taluka,"3,530","3,530","3,530","3,530","3,530","3,530","3,530","3,530","3,530","3,530"
8,5-Su.Bajra-Banaskantha-VAV-,5,Su.Bajra,Banaskantha,VAV,,Taluka,"1,050","1,050","1,050","1,050","1,050","1,050","1,050","1,050","1,050","1,050"
9,3-Su.Bajra-Baroda-PADRA-,3,Su.Bajra,Baroda,PADRA,,Taluka,"1,955","1,955","1,955","1,955","1,955","1,955","1,955","1,955","1,955","1,955"
10,3-Su.Bajra-Baroda-SAVLI-,3,Su.Bajra,Baroda,SAVLI,,Taluka,570,570,570,570,570,570,570,570,570,570
11,3-Su.Bajra-Baroda-VADODARA-,3,Su.Bajra,Baroda,VADODARA,,Taluka,841,841,841,841,841,841,841,841,841,841
12,6-Su.Bajra-Bhavnagar-TALAJA-,6,Su.Bajra,Bhavnagar,TALAJA,,Taluka,"1,321","1,321","1,321","1,321","1,321","1,321","1,321","1,321","1,321","1,321"
13,2-Su.Bajra-Gandhinagar-DAHEGAM-,2,Su.Bajra,Gandhinagar,DAHEGAM,,Taluka,"3,565","3,565","3,565","3,565","3,565","3,565","3,565","3,565","3,565","3,565"
14,2-Su.Bajra-Gandhinagar-GANDHINAGAR-,2,Su.Bajra,Gandhinagar,GANDHINAGAR,,Taluka,"1,257","1,257","1,257","1,257","1,257","1,257","1,257","1,257","1,257","1,257"
15,2-Su.Bajra-Gandhinagar-KALOL-,2,Su.Bajra,Gandhinagar,KALOL,,Taluka,"1,189","1,189","1,189","1,189","1,189","1,189","1,189","1,189","1,189","1,189"
16,2-Su.Bajra-Gandhinagar-MANSA-,2,Su.Bajra,Gandhinagar,MANSA,,Taluka,742,742,742,742,742,742,742,742,742,742
17,3-Su.Bajra-Gir Somanath-KODINAR-,3,Su.Bajra,Gir Somanath,KODINAR,,Taluka,"1,730","1,730","1,730","1,730","1,730","1,730","1,730","1,730","1,730","1,730"
18,3-Su.Bajra-Gir Somanath-UNA-,3,Su.Bajra,Gir Somanath,UNA,,Taluka,261,261,261,261,261,261,261,261,261,261
19,4-Su.Bajra-Junagadh-MANGROL-,4,Su.Bajra,Junagadh,MANGROL,,Taluka,890,890,890,890,890,890,890,890,890,890
20,6-Su.Bajra-Kheda-MAHEMDAVAD-,6,Su.Bajra,Kheda,MAHEMDAVAD,,Taluka,"7,422","7,422","7,422","7,422","7,422","7,422","7,422","7,422","7,422","7,422"
21,6-Su.Bajra-Kheda-NADIYAD-,6,Su.Bajra,Kheda,NADIYAD,,Taluka,"5,470","5,470","5,470","5,470","5,470","5,470","5,470","5,470","5,470","5,470"
22,6-Su.Bajra-Kheda-VASO-,6,Su.Bajra,Kheda,VASO,,Taluka,870,870,870,870,870,870,870,870,870,870
23,4-Su.Bajra-Kutch-MANDVI-,4,Su.Bajra,Kutch,MANDVI,,Taluka,760,760,760,760,760,760,760,760,760,760
24,3-Su.Bajra-Mahisagar-LUNAVADA-,3,Su.Bajra,Mahisagar,LUNAVADA,,Taluka,"1,042","1,042","1,042","1,042","1,042","1,042","1,042","1,042","1,042","1,042"
25,2-Su.Bajra-Mehsana-SATLASANA-,2,Su.Bajra,Mehsana,SATLASANA,,Taluka,"3,320","3,320","3,320","3,320","3,320","3,320","3,320","3,320","3,320","3,320"
26,2-Su.Bajra-Mehsana-VIJAPUR-,2,Su.Bajra,Mehsana,VIJAPUR,,Taluka,569,569,569,569,569,569,569,569,569,569
27,2-Su.Bajra-Panchamahal-KALOL-,2,Su.Bajra,Panchamahal,KALOL,,Taluka,140,140,140,140,140,140,140,140,140,140
28,5-Su.Bajra-Patan-PATAN-,5,Su.Bajra,Patan,PATAN,,Taluka,810,810,810,810,810,810,810,810,810,810
29,4-Su.Bajra-Sabarkanta-IDAR-,4,Su.Bajra,Sabarkanta,IDAR,,Taluka,93,93,93,93,93,93,93,93,93,93
30,4-Su.Bajra-Sabarkanta-PRANTIJ-,4,Su.Bajra,Sabarkanta,PRANTIJ,,Taluka,"1,189","1,189","1,189","1,189","1,189","1,189","1,189","1,189","1,189","1,189"
31,4-Su.Bajra-Sabarkanta-TALOD-,4,Su.Bajra,Sabarkanta,TALOD,,Taluka,"1,024","1,024","1,024","1,024","1,024","1,024","1,024","1,024","1,024","1,024"
32,2-Su.Bajra-Mehsana-MEHSANA-ALODA,2,Su.Bajra,Mehsana,MEHSANA,ALODA,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
33,2-Su.Bajra-Mehsana-MEHSANA-AMBASAN,2,Su.Bajra,Mehsana,MEHSANA,AMBASAN,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
34,2-Su.Bajra-Mehsana-MEHSANA-AKHAJ,2,Su.Bajra,Mehsana,MEHSANA,AKHAJ,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
35,2-Su.Bajra-Mehsana-MEHSANA-AMBALIYASAN,2,Su.Bajra,Mehsana,MEHSANA,AMBALIYASAN,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
36,2-Su.Bajra-Mehsana-MEHSANA-IJPURA(BAROT),2,Su.Bajra,Mehsana,MEHSANA,IJPURA(BAROT),GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
37,2-Su.Bajra-Mehsana-MEHSANA-UCHARPI,2,Su.Bajra,Mehsana,MEHSANA,UCHARPI,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
38,2-Su.Bajra-Mehsana-MEHSANA-KADVASAN,2,Su.Bajra,Mehsana,MEHSANA,KADVASAN,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
39,2-Su.Bajra-Mehsana-MEHSANA-KARSANPURA,2,Su.Bajra,Mehsana,MEHSANA,KARSANPURA,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
40,2-Su.Bajra-Mehsana-MEHSANA-KUKAS,2,Su.Bajra,Mehsana,MEHSANA,KUKAS,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
41,2-Su.Bajra-Mehsana-MEHSANA-KOCHAVA,2,Su.Bajra,Mehsana,MEHSANA,KOCHAVA,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
42,2-Su.Bajra-Mehsana-MEHSANA-KHARSADA,2,Su.Bajra,Mehsana,MEHSANA,KHARSADA,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
43,2-Su.Bajra-Mehsana-MEHSANA-KHARA,2,Su.Bajra,Mehsana,MEHSANA,KHARA,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
44,2-Su.Bajra-Mehsana-MEHSANA-KHERAVA,2,Su.Bajra,Mehsana,MEHSANA,KHERAVA,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
45,2-Su.Bajra-Mehsana-MEHSANA-GADHA,2,Su.Bajra,Mehsana,MEHSANA,GADHA,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
46,2-Su.Bajra-Mehsana-MEHSANA-GAMANPURA,2,Su.Bajra,Mehsana,MEHSANA,GAMANPURA,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
47,2-Su.Bajra-Mehsana-MEHSANA-GILOSAN,2,Su.Bajra,Mehsana,MEHSANA,GILOSAN,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
48,2-Su.Bajra-Mehsana-MEHSANA-GERATPUR,2,Su.Bajra,Mehsana,MEHSANA,GERATPUR,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
49,2-Su.Bajra-Mehsana-MEHSANA-GOJARIYA,2,Su.Bajra,Mehsana,MEHSANA,GOJARIYA,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
50,2-Su.Bajra-Mehsana-MEHSANA-GORAD,2,Su.Bajra,Mehsana,MEHSANA,GORAD,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
51,2-Su.Bajra-Mehsana-MEHSANA-DHADHUSAN,2,Su.Bajra,Mehsana,MEHSANA,DHADHUSAN,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
52,2-Su.Bajra-Mehsana-MEHSANA-DHOLASAN,2,Su.Bajra,Mehsana,MEHSANA,DHOLASAN,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
53,2-Su.Bajra-Mehsana-MEHSANA-CHARADU,2,Su.Bajra,Mehsana,MEHSANA,CHARADU,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
54,2-Su.Bajra-Mehsana-MEHSANA-CHALUVA,2,Su.Bajra,Mehsana,MEHSANA,CHALUVA,GP,"1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770","1,770"
