NameIndex,IndemnityLevel,SumInsuredCoverageLimit,UptakeRate
4 - Su.Bajra - Ahmedabad - DASKROI- ,70.00%,"25,000",80.00%
5 - Su.Bajra - Anand - ANKLAV- ,70.00%,"20,900",80.00%
6 - Su.Bajra - Aravalli - BAYAD- ,80.00%,"23,000",80.00%
6 - Su.Bajra - Aravalli - MALPUR- ,80.00%,"23,000",80.00%
5 - Su.Bajra - Banaskantha - AMIRGADH- ,70.00%,"17,000",80.00%
5 - Su.Bajra - Banaskantha - DANTA- ,70.00%,"17,000",80.00%
5 - Su.Bajra - Banaskantha - VADGAM- ,70.00%,"17,000",80.00%
5 - Su.Bajra - Banaskantha - VAV- ,70.00%,"17,000",80.00%
3 - Su.Bajra - Baroda - PADRA- ,70.00%,"29,000",80.00%
3 - Su.Bajra - Baroda - SAVLI- ,70.00%,"29,000",80.00%
3 - Su.Bajra - Baroda - VADODARA- ,70.00%,"29,000",80.00%
6 - Su.Bajra - Bhavnagar - TALAJA- ,80.00%,"23,000",80.00%
2 - Su.Bajra - Gandhinagar - DAHEGAM- ,80.00%,"30,000",80.00%
2 - Su.Bajra - Gandhinagar - GANDHINAGAR- ,80.00%,"30,000",80.00%
2 - Su.Bajra - Gandhinagar - KALOL- ,80.00%,"30,000",80.00%
2 - Su.Bajra - Gandhinagar - MANSA- ,80.00%,"30,000",80.00%
3 - Su.Bajra - Gir Somanath - KODINAR- ,80.00%,"29,000",80.00%
3 - Su.Bajra - Gir Somanath - UNA- ,80.00%,"29,000",80.00%
4 - Su.Bajra - Junagadh - MANGROL- ,80.00%,"29,000",80.00%
6 - Su.Bajra - Kheda - MAHEMDAVAD- ,80.00%,"20,900",80.00%
6 - Su.Bajra - Kheda - NADIYAD- ,80.00%,"20,900",80.00%
6 - Su.Bajra - Kheda - VASO- ,80.00%,"20,900",80.00%
4 - Su.Bajra - Kutch - MANDVI- ,70.00%,"30,000",80.00%
3 - Su.Bajra - Mahisagar - LUNAVADA- ,70.00%,"20,900",80.00%
2 - Su.Bajra - Mehsana - SATLASANA- ,80.00%,"30,000",80.00%
2 - Su.Bajra - Mehsana - VIJAPUR- ,80.00%,"30,000",80.00%
2 - Su.Bajra - Panchamahal - KALOL- ,80.00%,"20,900",80.00%
5 - Su.Bajra - Patan - PATAN- ,70.00%,"30,000",80.00%
4 - Su.Bajra - Sabarkanta - IDAR- ,80.00%,"23,000",80.00%
4 - Su.Bajra - Sabarkanta - PRANTIJ- ,80.00%,"23,000",80.00%
4 - Su.Bajra - Sabarkanta - TALOD- ,80.00%,"23,000",80.00%
2 - Su.Bajra - Mehsana - MEHSANA- ALODA,80.00%,"30,000",80.00%
2 - Su.Bajra - Mehsana - MEHSANA- AMBASAN,80.00%,"30,000",80.00%
2 - Su.Bajra - Mehsana - MEHSANA- AKHAJ,80.00%,"30,000",80.00%
2 - Su.Bajra - Mehsana - MEHSANA- AMBALIYASAN,80.00%,"30,000",80.00%
2 - Su.Bajra - Mehsana - MEHSANA- IJPURA(BAROT),80.00%,"30,000",80.00%
2 - Su.Bajra - Mehsana - MEHSANA- UCHARPI,80.00%,"30,000",80.00%
2 - Su.Bajra - Mehsana - MEHSANA- KADVASAN,80.00%,"30,000",80.00%
2 - Su.Bajra - Mehsana - MEHSANA- KARSANPURA,80.00%,"30,000",80.00%
2 - Su.Bajra - Mehsana - MEHSANA- KUKAS,80.00%,"30,000",80.00%
2 - Su.Bajra - Mehsana - MEHSANA- KOCHAVA,80.00%,"30,000",80.00%
2 - Su.Bajra - Mehsana - MEHSANA- KHARSADA,80.00%,"30,000",80.00%
2 - Su.Bajra - Mehsana - MEHSANA- KHARA,80.00%,"30,000",80.00%
2 - Su.Bajra - Mehsana - MEHSANA- KHERAVA,80.00%,"30,000",80.00%
2 - Su.Bajra - Mehsana - MEHSANA- GADHA,80.00%,"30,000",80.00%
2 - Su.Bajra - Mehsana - MEHSANA- GAMANPURA,80.00%,"30,000",80.00%
2 - Su.Bajra - Mehsana - MEHSANA- GILOSAN,80.00%,"30,000",80.00%
2 - Su.Bajra - Mehsana - MEHSANA- GERATPUR,80.00%,"30,000",80.00%
2 - Su.Bajra - Mehsana - MEHSANA- GOJARIYA,80.00%,"30,000",80.00%
2 - Su.Bajra - Mehsana - MEHSANA- GORAD,80.00%,"30,000",80.00%
2 - Su.Bajra - Mehsana - MEHSANA- DHADHUSAN,80.00%,"30,000",80.00%
2 - Su.Bajra - Mehsana - MEHSANA- DHOLASAN,80.00%,"30,000",80.00%
2 - Su.Bajra - Mehsana - MEHSANA- CHARADU,80.00%,"30,000",80.00%
2 - Su.Bajra - Mehsana - MEHSANA- CHALUVA,80.00%,"30,000",80.00%
