Number Index,Name Index,Cluster,Crop,District,Taluka,Gram Panchayat,Notification Level,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1,4 - Su.Bajra - Ahmedabad - DASKROI- ,4,Su.Bajra,Ahmedabad,DASKROI,,Taluka,"2,586","2,601","2,707","2,562","2,410","2,435","2,764","2,944","3,637","2,878","2,878"
2,5 - Su.Bajra - Anand - ANKLAV- ,5,Su.Bajra,Anand,ANKLAV,,Taluka,"2,618","2,818","2,972","2,945","2,087","3,930","3,543","3,421","3,293","2,989","2,989"
3,6 - Su.Bajra - Aravalli - BAYAD- ,6,Su.Bajra,Aravalli,BAYAD,,Taluka,"2,020","1,955","1,933","2,160","3,019","2,093","2,629","2,217","3,054","3,302","3,302"
4,6 - Su.Bajra - Aravalli - MALPUR- ,6,Su.Bajra,Aravalli,MALPUR,,Taluka,"2,020","1,955","1,933","2,160","3,019","2,093","2,629","2,217","1,965","2,070","2,070"
5,5 - Su.Bajra - Banaskantha - AMIRGADH- ,5,Su.Bajra,Banaskantha,AMIRGADH,,Taluka,"2,271","2,077","2,357","2,421","2,564","2,754","3,107","3,054","2,909","2,908","2,908"
6,5 - Su.Bajra - Banaskantha - DANTA- ,5,Su.Bajra,Banaskantha,DANTA,,Taluka,"2,271","2,077","2,357","2,421","2,564","2,754","2,836","2,816","2,302","2,111","2,111"
7,5 - Su.Bajra - Banaskantha - VADGAM- ,5,Su.Bajra,Banaskantha,VADGAM,,Taluka,"2,594","2,431","2,717","2,840","2,749","3,080","3,128","3,011","2,878","3,295","3,295"
8,5 - Su.Bajra - Banaskantha - VAV- ,5,Su.Bajra,Banaskantha,VAV,,Taluka,"2,271","2,077","2,357","2,421","1,455","2,099","1,720","1,368","1,868","1,964","1,964"
9,3 - Su.Bajra - Baroda - PADRA- ,3,Su.Bajra,Baroda,PADRA,,Taluka,927,"2,051","2,027","2,155","4,446","2,255","2,105","2,612","2,342","2,484","2,484"
10,3 - Su.Bajra - Baroda - SAVLI- ,3,Su.Bajra,Baroda,SAVLI,,Taluka,"1,767","2,251","2,329","2,406","1,973","1,845","1,818","2,250","1,731","2,035","2,035"
11,3 - Su.Bajra - Baroda - VADODARA- ,3,Su.Bajra,Baroda,VADODARA,,Taluka,"1,347","2,151","2,178","2,281","3,210","2,374","1,912","1,736","1,934","2,220","2,220"
12,6 - Su.Bajra - Bhavnagar - TALAJA- ,6,Su.Bajra,Bhavnagar,TALAJA,,Taluka,"2,426","2,253","2,443","2,544","2,680","2,819","2,637","2,658","2,691","3,253","3,253"
13,2 - Su.Bajra - Gandhinagar - DAHEGAM- ,2,Su.Bajra,Gandhinagar,DAHEGAM,,Taluka,"2,751","2,845","2,632","2,372","3,185","3,086","2,854","3,027","3,164","3,477","3,477"
14,2 - Su.Bajra - Gandhinagar - GANDHINAGAR- ,2,Su.Bajra,Gandhinagar,GANDHINAGAR,,Taluka,"2,638","2,786","2,738","3,281","2,988","3,740","2,773","3,194","2,837","3,300","3,300"
15,2 - Su.Bajra - Gandhinagar - KALOL- ,2,Su.Bajra,Gandhinagar,KALOL,,Taluka,"2,671","2,297","3,081","2,507","3,088","2,893","2,888","2,784","3,016","3,208","3,208"
16,2 - Su.Bajra - Gandhinagar - MANSA- ,2,Su.Bajra,Gandhinagar,MANSA,,Taluka,"2,484","3,053","3,216","3,191","2,985","3,265","3,083","3,613","3,555","4,007","4,007"
17,3 - Su.Bajra - Gir Somanath - KODINAR- ,3,Su.Bajra,Gir Somanath,KODINAR,,Taluka,"2,930","2,523","2,663","2,641","2,680","2,819","3,655","2,890","3,093","2,944","2,944"
18,3 - Su.Bajra - Gir Somanath - UNA- ,3,Su.Bajra,Gir Somanath,UNA,,Taluka,"3,328","2,024","3,053","4,804","2,680","2,819","3,655","2,890","3,093","4,039","4,039"
19,4 - Su.Bajra - Junagadh - MANGROL- ,4,Su.Bajra,Junagadh,MANGROL,,Taluka,"2,426","2,253","2,443","2,544","2,680","2,819","2,637","2,658","2,691","3,147","3,147"
20,6 - Su.Bajra - Kheda - MAHEMDAVAD- ,6,Su.Bajra,Kheda,MAHEMDAVAD,,Taluka,"2,873","2,782","2,510","2,600","2,236","2,860","2,636","3,024","2,638","2,933","2,933"
21,6 - Su.Bajra - Kheda - NADIYAD- ,6,Su.Bajra,Kheda,NADIYAD,,Taluka,"2,657","2,260","3,367","2,832","3,011","3,279","3,343","2,899","3,090","2,980","2,980"
22,6 - Su.Bajra - Kheda - VASO- ,6,Su.Bajra,Kheda,VASO,,Taluka,"2,150","2,027","2,171","2,401","2,340","2,447","3,043","2,978","2,883","2,539","2,539"
23,4 - Su.Bajra - Kutch - MANDVI- ,4,Su.Bajra,Kutch,MANDVI,,Taluka,"2,426","2,253","2,443","2,544","2,680","2,819","2,256","2,129","2,219","2,475","2,475"
24,3 - Su.Bajra - Mahisagar - LUNAVADA- ,3,Su.Bajra,Mahisagar,LUNAVADA,,Taluka,"2,426","2,253","2,443","2,544","2,680","2,819","1,727","1,310","1,709","1,558","1,558"
25,2 - Su.Bajra - Mehsana - SATLASANA- ,2,Su.Bajra,Mehsana,SATLASANA,,Taluka,"2,941","2,425","2,542","1,897","2,306","2,156","2,177","2,427","2,933","2,947","2,947"
26,2 - Su.Bajra - Mehsana - VIJAPUR- ,2,Su.Bajra,Mehsana,VIJAPUR,,Taluka,"2,542","2,244","2,533","2,344","2,828","2,792","2,574","2,385","3,057","3,452","3,452"
27,2 - Su.Bajra - Panchamahal - KALOL- ,2,Su.Bajra,Panchamahal,KALOL,,Taluka,"2,426","2,253","2,443","2,544","2,680","2,819","1,727","1,704","2,331","2,100","2,100"
28,5 - Su.Bajra - Patan - PATAN- ,5,Su.Bajra,Patan,PATAN,,Taluka,"2,909","2,409","2,645","2,565","2,560","2,758","3,055","2,763","3,072","2,955","2,955"
29,4 - Su.Bajra - Sabarkanta - IDAR- ,4,Su.Bajra,Sabarkanta,IDAR,,Taluka,"2,637","2,522","2,672","2,820","2,891","2,793","2,748","2,252","2,194","3,135","3,135"
30,4 - Su.Bajra - Sabarkanta - PRANTIJ- ,4,Su.Bajra,Sabarkanta,PRANTIJ,,Taluka,"3,077","2,513","2,708","2,900","3,285","3,230","3,476","3,030","3,200","3,573","3,573"
31,4 - Su.Bajra - Sabarkanta - TALOD- ,4,Su.Bajra,Sabarkanta,TALOD,,Taluka,"2,196","2,531","2,635","2,739","2,497","2,355","2,454","2,325","3,065","3,048","3,048"
32,2 - Su.Bajra - Mehsana - MEHSANA- ALODA,2,Su.Bajra,Mehsana,MEHSANA,ALODA,GP,"2,902","2,135","2,508","2,641","3,028","3,138","2,996","2,871","2,790",0,0
33,2 - Su.Bajra - Mehsana - MEHSANA- AMBASAN,2,Su.Bajra,Mehsana,MEHSANA,AMBASAN,GP,"2,902","2,135","2,508","2,641","3,028","3,138","2,996","2,871","2,819","3,369","3,369"
34,2 - Su.Bajra - Mehsana - MEHSANA- AKHAJ,2,Su.Bajra,Mehsana,MEHSANA,AKHAJ,GP,"2,902","2,135","2,508","2,641","3,028","3,138","2,996","2,871","2,850","3,362","3,362"
35,2 - Su.Bajra - Mehsana - MEHSANA- AMBALIYASAN,2,Su.Bajra,Mehsana,MEHSANA,AMBALIYASAN,GP,"2,902","2,135","2,508","2,641","3,028","3,138","2,996","2,871","2,812","3,315","3,315"
36,2 - Su.Bajra - Mehsana - MEHSANA- IJPURA(BAROT),2,Su.Bajra,Mehsana,MEHSANA,IJPURA(BAROT),GP,"2,902","2,135","2,508","2,641","3,028","3,138","2,996","2,871","2,790",0,0
37,2 - Su.Bajra - Mehsana - MEHSANA- UCHARPI,2,Su.Bajra,Mehsana,MEHSANA,UCHARPI,GP,"2,902","2,135","2,508","2,641","3,028","3,138","2,996","2,871","2,819","3,161","3,161"
38,2 - Su.Bajra - Mehsana - MEHSANA- KADVASAN,2,Su.Bajra,Mehsana,MEHSANA,KADVASAN,GP,"2,902","2,135","2,508","2,641","3,028","3,138","2,996","2,871","2,804","3,261","3,261"
39,2 - Su.Bajra - Mehsana - MEHSANA- KARSANPURA,2,Su.Bajra,Mehsana,MEHSANA,KARSANPURA,GP,"2,902","2,135","2,508","2,641","3,028","3,138","2,996","2,871","2,827",0,0
40,2 - Su.Bajra - Mehsana - MEHSANA- KUKAS,2,Su.Bajra,Mehsana,MEHSANA,KUKAS,GP,"2,902","2,135","2,508","2,641","3,028","3,138","2,996","2,871","2,842","3,230","3,230"
